type,time,longitude,latitude,altitude (ft)
,12/1/15 22:03,-86.80539704,36.1434266,185
,12/1/15 22:03,-86.80540757,36.1434474,185
,12/1/15 22:03,-86.80535449,36.1434793,185
,12/1/15 22:05,-86.80534714,36.1434945,185
,12/1/15 22:06,-86.80529916,36.1434241,185
,12/1/15 22:06,-86.80529562,36.1434154,185
,12/1/15 22:06,-86.80528546,36.1434099,185
,12/1/15 22:06,-86.80527478,36.1434049,184
,12/1/15 22:06,-86.80526816,36.143402,184
,12/1/15 22:10,-86.80524505,36.143394,184
,12/1/15 22:12,-86.80536817,36.1433927,184
,12/1/15 22:40,-86.80578994,36.1434252,174
,12/1/15 22:40,-86.80574248,36.1428151,126
,12/1/15 22:40,-86.80570726,36.1428398,91
,12/1/15 22:40,-86.80572263,36.1430162,104
,12/1/15 22:40,-86.80572531,36.1430448,106
,12/1/15 22:40,-86.80572627,36.143066,107
,12/1/15 22:40,-86.80572642,36.1431162,110
,12/1/15 22:40,-86.8057278,36.1430388,99
,12/1/15 22:41,-86.80581184,36.1434426,110
,12/1/15 22:41,-86.80582892,36.1434141,112
,12/1/15 22:41,-86.80582891,36.1434325,113
,12/1/15 22:42,-86.80584065,36.1434593,114
,12/1/15 22:42,-86.80584348,36.1435189,116
,12/1/15 22:42,-86.80584505,36.143518,116
,12/1/15 22:43,-86.80583423,36.1434022,117
,12/1/15 22:43,-86.80586292,36.1433133,117
,12/1/15 22:44,-86.80586585,36.1424898,126
,12/1/15 22:44,-86.8058113,36.1425388,135
,12/1/15 22:44,-86.80582534,36.142562,142
,12/1/15 22:44,-86.8058118,36.1425641,142
,12/1/15 22:44,-86.80576596,36.1425962,140
,12/1/15 22:44,-86.80573623,36.1426052,138
,12/1/15 22:44,-86.80570834,36.1426162,140
,12/1/15 22:44,-86.80568441,36.1426079,140
,12/1/15 22:44,-86.80563903,36.1425977,140
,12/1/15 22:44,-86.8055855,36.1425908,140
,12/1/15 22:44,-86.8055016,36.1425631,142
,12/1/15 22:45,-86.80539739,36.1425516,146
,12/1/15 22:45,-86.80533497,36.1425584,145
,12/1/15 22:45,-86.80531921,36.1425646,143
,12/1/15 22:45,-86.8052383,36.1426039,144
,12/1/15 22:45,-86.8051986,36.1426321,144
,12/1/15 22:45,-86.80516285,36.1426406,144
,12/1/15 22:45,-86.8051366,36.1426378,142
,12/1/15 22:45,-86.8050938,36.1426336,138
,12/1/15 22:45,-86.80508233,36.1426287,138
,12/1/15 22:45,-86.80505762,36.1426242,137
,12/1/15 22:45,-86.80503,36.1426391,135
,12/1/15 22:45,-86.80503425,36.142683,134
,12/1/15 22:46,-86.80507649,36.1427056,131
,12/1/15 22:46,-86.80507324,36.1427498,129
,12/1/15 22:46,-86.80505888,36.1427713,129
,12/1/15 22:46,-86.80503005,36.1427642,132
,12/1/15 22:49,-86.80511137,36.1429216,138
,12/1/15 22:49,-86.80508317,36.1429288,142
,12/1/15 22:49,-86.80507463,36.1429305,143
,12/1/15 22:49,-86.80505573,36.1429294,145
,12/1/15 22:49,-86.80503413,36.1429421,147
,12/1/15 22:49,-86.80499193,36.1429552,148
,12/1/15 22:49,-86.80496637,36.1429759,148
,12/1/15 22:49,-86.80495078,36.1430054,145
,12/1/15 22:49,-86.80495294,36.1430146,145
,12/1/15 22:49,-86.80496288,36.1430435,144
,12/1/15 22:49,-86.80495714,36.143082,144
,12/1/15 22:50,-86.80495393,36.1431604,145
,12/1/15 22:50,-86.80495666,36.1431906,143
,12/1/15 22:50,-86.80494439,36.1432253,144
,12/1/15 22:50,-86.80490235,36.1432843,142
,12/1/15 22:50,-86.80486835,36.1433029,141
,12/1/15 22:50,-86.80482188,36.1433202,140
